Tactic,Technique,Procedure,Indicator,Comments
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,tribunalukraine[.]info,"Operation’s websites and brands Registration date: 10/05/2022, Country likely targeted: Global"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sevenquestions[.]eu[.]com,"Operation’s websites and brands Registration date: 10/03/2022, Country likely targeted: Global"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,sieben-fragen-putin[.]de,"Operation’s websites and brands Registration date: 10/02/2022, Country likely targeted: Germany"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,factsmatter[.]me,"Operation’s websites and brands Registration date: 06/03/2022, Country likely targeted: Global"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,avisindependent[.]eu,"Operation’s websites and brands Registration date: 06/03/2022, Country likely targeted: France"
0. Acquiring assets,0.6 Acquiring domains,0.6.2 Acquiring domains to support influence operations,rrn[.]world,"Operation’s websites and brands Registration date: 06/06/2022, Country likely targeted: Multiple"
,,,,
9. Enabling longevity,9.5 Replacing infrastructure,9.5.3 Using redirect domains,1-nsfw[.]online,
9. Enabling longevity,9.5 Replacing infrastructure,9.5.3 Using redirect domains,1horadireto[.]com,
9. Enabling longevity,9.5 Replacing infrastructure,9.5.3 Using redirect domains,1kdealz[.]store,
