indicator_type,indicator_value,comment,ds
domain_name,wtc2222.com,Cytrox Domain,2021-12-16
domain_name,wtc3333.com,Cytrox Domain,2021-12-16
domain_name,xf.actor,Cytrox Domain,2021-12-16
domain_name,xnxx-hub.com,Cytrox Domain,2021-12-16
domain_name,xyvok.xyz,Cytrox Domain,2021-12-16
domain_name,yallakora-egy.com,Cytrox Domain,2021-12-16
domain_name,yo.utube.digital,Cytrox Domain,2021-12-16
domain_name,yo.utube.to,Cytrox Domain,2021-12-16
domain_name,youarefired.xyz,Cytrox Domain,2021-12-16
domain_name,yout.ube.gr.com,Cytrox Domain,2021-12-16
domain_name,youtu-be.net,Cytrox Domain,2021-12-16
domain_name,youtub.app,Cytrox Domain,2021-12-16
domain_name,youtube.gr.live,Cytrox Domain,2021-12-16
domain_name,youtube.voto,Cytrox Domain,2021-12-16
domain_name,youtubesyncapi.com,Cytrox Domain,2021-12-16
domain_name,youtubewatch.co,Cytrox Domain,2021-12-16
domain_name,yuom7.net,Cytrox Domain,2021-12-16
domain_name,z2a.digital,Cytrox Domain,2021-12-16
domain_name,z2adigital.cloud,Cytrox Domain,2021-12-16
domain_name,z2digital.cloud,Cytrox Domain,2021-12-16
domain_name,zougla.gr.com,Cytrox Domain,2021-12-16
domain_name,zougla.news,Cytrox Domain,2021-12-16
